model,context_used,thinking,dataset,dataset_version,f1,em,pred_tokens_per_question,total_tokens,total_energy_kWh,energy_kWh_per_question,inference_energy_kWh,retrieval_energy_kWh,emissions_kg_per_question,inference_emissions_kg_per_question,retrieval_emissions_kg_per_question,time_s_per_question,total_time,performance_per_energy
Qwen3 0.6B (RAG),True,True,NQ,GS Paragraph,0.417880,0.291000,545.705000,545705,0.729739,0.000730,0.000723,0.000007,0.000212,0.000212,0.000000,2.282551,0:38:02,0.572643
Qwen3 1.7B (Base),False,False,NQ,Question Only,0.127509,0.036000,15.090000,15090,0.089607,0.000090,0.000090,0.000000,0.000026,0.000026,0.000000,0.317534,0:05:17,1.422979
Qwen3 1.7B (Base),False,True,NQ,Question Only,0.158896,0.068000,321.925000,321925,0.474557,0.000475,0.000475,0.000000,0.000139,0.000139,0.000000,1.470751,0:24:30,0.334831
Qwen3 1.7B (RAG),True,False,NQ,First Paragraph,0.316892,0.187000,78.179000,78179,0.213465,0.000213,0.000206,0.000007,0.000061,0.000061,0.000000,0.661164,0:11:01,1.484518
Qwen3 1.7B (RAG),True,False,NQ,GS Paragraph,0.456936,0.309000,13.135000,13135,0.102284,0.000102,0.000095,0.000007,0.000028,0.000028,0.000000,0.334992,0:05:34,4.467311
Qwen3 1.7B (RAG),True,True,NQ,First Paragraph,0.328565,0.211000,391.279000,391279,0.585092,0.000585,0.000578,0.000007,0.000170,0.000170,0.000000,1.777499,0:29:37,0.561560
Qwen3 1.7B (RAG),True,True,NQ,GS Paragraph,0.487544,0.339000,338.211000,338211,0.535648,0.000536,0.000529,0.000007,0.000155,0.000155,0.000000,1.630634,0:27:10,0.910194
Qwen3 4B (Base),False,False,NQ,Question Only,0.241934,0.123000,513.613000,513613,1.130482,0.001130,0.001130,0.000000,0.000332,0.000332,0.000000,3.301804,0:55:01,0.214010
Qwen3 4B (Base),False,True,NQ,Question Only,0.236272,0.115000,532.945000,532945,1.167360,0.001167,0.001167,0.000000,0.000343,0.000343,0.000000,3.420140,0:57:00,0.202399
Qwen3 4B (RAG),True,False,NQ,First Paragraph,0.356894,0.242000,466.667000,466667,1.028399,0.001028,0.001021,0.000007,0.000300,0.000300,0.000000,2.987736,0:49:47,0.347038
Qwen3 4B (RAG),True,False,NQ,GS Paragraph,0.533307,0.393000,596.122000,596122,1.369697,0.001370,0.001363,0.000007,0.000400,0.000400,0.000000,3.945237,1:05:45,0.389362
Qwen3 4B (RAG),True,True,NQ,First Paragraph,0.346077,0.233000,469.411000,469411,1.028123,0.001028,0.001021,0.000007,0.000300,0.000300,0.000000,3.001712,0:50:01,0.336610
Qwen3 4B (RAG),True,True,NQ,GS Paragraph,0.527579,0.384000,505.146000,505146,1.154511,0.001155,0.001148,0.000007,0.000337,0.000337,0.000000,3.362111,0:56:02,0.456972
Qwen3 8B (Base),False,False,NQ,Question Only,0.170321,0.044000,27.633000,27633,0.151395,0.000151,0.000151,0.000000,0.000044,0.000044,0.000000,0.492287,0:08:12,1.125011
Qwen3 8B (Base),False,True,NQ,Question Only,0.179123,0.058000,748.982000,748982,2.551998,0.002552,0.002552,0.000000,0.000749,0.000749,0.000000,7.151003,1:59:11,0.070189
Qwen3 8B (RAG),True,False,NQ,First Paragraph,0.335945,0.168000,16.826000,16826,0.134019,0.000134,0.000127,0.000007,0.000037,0.000037,0.000000,0.426225,0:07:06,2.506700
Qwen3 8B (RAG),True,False,NQ,GS Paragraph,0.482198,0.306000,16.453000,16453,0.143408,0.000143,0.000136,0.000007,0.000040,0.000040,0.000000,0.450166,0:07:30,3.362426
Qwen3 8B (RAG),True,True,NQ,First Paragraph,0.296127,0.151000,461.559000,461559,1.558802,0.001559,0.001552,0.000007,0.000456,0.000456,0.000000,4.403278,1:13:23,0.189971
Qwen3 8B (RAG),True,True,NQ,GS Paragraph,0.421674,0.233000,450.695000,450695,1.583846,0.001584,0.001577,0.000007,0.000463,0.000463,0.000000,4.468657,1:14:28,0.266234
Qwen3 14B (Base),False,False,NQ,Question Only,0.182461,0.046000,22.024000,22024,0.175437,0.000175,0.000175,0.000000,0.000052,0.000052,0.000000,0.559079,0:09:19,1.040038
Qwen3 14B (Base),False,True,NQ,Question Only,0.237454,0.109000,508.957000,508957,2.664110,0.002664,0.002664,0.000000,0.000777,0.000777,0.000000,7.341487,2:02:21,0.089131
Qwen3 14B (RAG),True,False,NQ,First Paragraph,0.328501,0.162000,18.836000,18836,0.177726,0.000178,0.000171,0.000007,0.000050,0.000050,0.000000,0.546293,0:09:06,1.848352
Qwen3 14B (RAG),True,False,NQ,GS Paragraph,0.449946,0.261000,18.677000,18677,0.195020,0.000195,0.000188,0.000007,0.000055,0.000055,0.000000,0.590306,0:09:50,2.307176
Qwen3 14B (RAG),True,True,NQ,First Paragraph,0.339263,0.206000,503.195000,503195,2.678193,0.002678,0.002671,0.000007,0.000780,0.000780,0.000000,7.368897,2:02:48,0.126676
Qwen3 14B (RAG),True,True,NQ,GS Paragraph,0.480148,0.321000,425.841000,425841,2.322025,0.002322,0.002315,0.000007,0.000679,0.000679,0.000000,6.390297,1:46:30,0.206780
Qwen3 32B (Base),False,False,NQ,Question Only,0.198143,0.052000,25.685000,25685,0.337853,0.000338,0.000338,0.000000,0.000099,0.000099,0.000000,0.996216,0:16:36,0.586476
Qwen3 32B (Base),False,True,NQ,Question Only,0.208871,0.074000,757.036000,757036,9.438247,0.009438,0.009438,0.000000,0.002771,0.002771,0.000000,25.232621,7:00:32,0.022130
